登記編號,工廠名稱,工廠地址,縣市別代碼,地址_行政區域代碼,地址_村里,地址_街路門牌,符合之產業類別
99675453,龍乙企業廠有限公司,臺南市安南區梅花里梅花一路276號1樓,67000,67000350,梅花里,梅花一路276號1樓,"25金屬製品製造業,29機械設備製造業"
99675456,金世任企業社,臺南市安南區安慶里培安路482號,67000,67000350,安慶里,培安路482號,25金屬製品製造業
99675464,廣昇工業股份有限公司,臺南市安南區佃東里海佃路4段318號,67000,67000350,佃東里,海佃路4段318號,"31其他運輸工具及其零件製造業,29機械設備製造業,24基本金屬製造業"
99675465,大祥電器工廠,臺南市東區崇善里崇善路373號,67000,67000320,崇善里,崇善路373號,28電力設備及配備製造業
99675466,源友企業社,臺南市安南區新順里安和路2段318巷16號1樓,67000,67000350,新順里,安和路2段318巷16號1樓,"30汽車及其零件製造業,31其他運輸工具及其零件製造業,25金屬製品製造業,29機械設備製造業"
99675467,朝玄企業社,臺南市安南區溪東里北安路2段93巷26號,67000,67000350,溪東里,北安路2段93巷26號,"30汽車及其零件製造業,31其他運輸工具及其零件製造業"
99675473,廣聚機器工業有限公司,臺南市南區彰南里新平路29號,67000,67000330,彰南里,新平路29號,29機械設備製造業
99675477,景鵬油壓企業有限公司,臺南市安南區溪北里安和路1段91巷35號,67000,67000350,溪北里,安和路1段91巷35號,29機械設備製造業
99675480,義珍肉脯舖,臺南市東區自強里富農街1段153巷14號,67000,67000320,自強里,富農街1段153巷14號,08食品製造業
99675481,宏陽實業廠,臺南市安南區海佃里國安街56巷141弄7號,67000,67000350,海佃里,國安街56巷141弄7號,25金屬製品製造業
99675487,鑫億鐵工機械廠,臺南市南區佛壇里興南街437號,67000,67000330,佛壇里,興南街437號,29機械設備製造業
99675490,現發交通工業有限公司,臺南市安南區布袋里工明南三路56號,67000,67000350,布袋里,工明南三路56號,"30汽車及其零件製造業,31其他運輸工具及其零件製造業"
99675492,大進光學有限公司,臺南市安南區城北里安中路6段429巷33號,67000,67000350,城北里,安中路6段429巷33號,33其他製造業
99675494,統亞電子科技股份有限公司,臺南市安南區頂安里頂安街406號,67000,67000350,頂安里,頂安街406號,"30汽車及其零件製造業,31其他運輸工具及其零件製造業"
99675495,茂雄機器廠,臺南市北區大豐里文賢路313巷4號,67000,67000340,大豐里,文賢路313巷4號,29機械設備製造業
99675498,美上美剌繡企業有限公司,臺南市南區新興里健康路2段53巷12號,67000,67000330,新興里,健康路2段53巷12號,11紡織業
99676501,昆明鐵工所,臺南市安南區安順里開安二街34號,67000,67000350,安順里,開安二街34號,"29機械設備製造業,25金屬製品製造業"
99676503,益彬企業股份有限公司,臺南市安南區新順里永安路21號,67000,67000350,新順里,永安路21號,"25金屬製品製造業,24基本金屬製造業"
99676506,兆鎰塑膠實業廠,臺南市北區正覺里正覺街15號,67000,67000340,正覺里,正覺街15號,22塑膠製品製造業
99676508,冠南冷凍企業有限公司和順工廠,臺南市安南區新順里開安路34號,67000,67000350,新順里,開安路34號,33其他製造業
99676510,迅揚企業股份有限公司,臺南市安南區原佃里本原街1段195巷110弄67號,67000,67000350,原佃里,本原街1段195巷110弄67號,"25金屬製品製造業,33其他製造業"
99676511,美的庭園照明設備有限公司,臺南市安南區布袋里工明五路116號,67000,67000350,布袋里,工明五路116號,28電力設備及配備製造業
99676517,進鑫金屬工業有限公司,臺南市安南區安順里安和路4段36巷200弄48號,67000,67000350,安順里,安和路4段36巷200弄48號,"25金屬製品製造業,28電力設備及配備製造業"
99676518,燦億企業股份有限公司,臺南市南區佛壇里興南街449號,67000,67000330,佛壇里,興南街449號,25金屬製品製造業
99676522,立嶸股份有限公司,臺南市南區彰南里新義南路55號,67000,67000330,彰南里,新義南路55號,"11紡織業,12成衣及服飾品製造業"
99676523,弘昌金屬工業有限公司,臺南市安南區新順里開安路43號Ｂ棟2樓,67000,67000350,新順里,開安路43號Ｂ棟2樓,25金屬製品製造業
99676526,鴻昌五金工業有限公司,臺南市南區彰南里新義路10號,67000,67000330,彰南里,新義路10號,25金屬製品製造業
99676528,富吉實業社,臺南市北區大港里大興街132巷23號,67000,67000340,大港里,大興街132巷23號,"22塑膠製品製造業,25金屬製品製造業"
99676530,揚達實業有限公司台南廠,臺南市南區佛壇里興南街391號,67000,67000330,佛壇里,興南街391號,25金屬製品製造業
99676531,光鴻彈簧股份有限公司,臺南市安南區新順里永安路8號,67000,67000350,新順里,永安路8號,25金屬製品製造業
99676533,全盛塑膠企業社,臺南市安南區安順里安和路4段36巷200弄52號,67000,67000350,安順里,安和路4段36巷200弄52號,22塑膠製品製造業
99676534,憲毅企業股份有限公司,臺南市安南區安順里開安五街11號,67000,67000350,安順里,開安五街11號,25金屬製品製造業
99676537,致仁塑膠工藝社,臺南市南區廣州里大德街160巷10號,67000,67000330,廣州里,大德街160巷10號,22塑膠製品製造業
99676538,友達光電股份有限公司台南廠,臺南市安南區鹽田里科技一路36號,67000,67000350,鹽田里,科技一路36號,26電子零組件製造業
99676539,鑄將企業有限公司,臺南市南區彰南里新和路20號,67000,67000330,彰南里,新和路20號,24基本金屬製造業
99676540,冠利企業股份有限公司二廠,臺南市安南區新順里安和路2段196號,67000,67000350,新順里,安和路2段196號,25金屬製品製造業
99676541,三溢製冰廠,臺南市東區崇善里崇善二街68號1樓,67000,67000320,崇善里,崇善二街68號1樓,08食品製造業
99676543,達邦蛋白股份有限公司科工廠,臺南市安南區鹽田里工業三路52號A、B、C棟,67000,67000350,鹽田里,工業三路52號A、B、C棟,08食品製造業
99676544,大綺機械實業廠,臺南市安南區溪心里本原街2段132巷70弄7號,67000,67000350,溪心里,本原街2段132巷70弄7號,"25金屬製品製造業,29機械設備製造業"
99676548,三新新塑膠有限公司工廠,臺南市中西區三合里信義街36號,67000,67000370,三合里,信義街36號,"22塑膠製品製造業,33其他製造業"
99676549,明生特殊印刷有限公司,臺南市安南區溪墘里海佃路1段158巷17號,67000,67000350,溪墘里,海佃路1段158巷17號,16印刷及資料儲存媒體複製業
99676552,翰締實業有限公司,臺南市南區彰南里新平路2號之1,67000,67000330,彰南里,新平路2號之1,08食品製造業
99676555,一德金屬工業股份有限公司,臺南市安南區鹽田里工業三路18、20號,67000,67000350,鹽田里,工業三路18、20號,25金屬製品製造業
99676559,甲庚實業股份有限公司布袋廠,臺南市安南區布袋里工明南二路92號,67000,67000350,布袋里,工明南二路92號,"22塑膠製品製造業,25金屬製品製造業"
99676561,天光興工業股份有限公司,臺南市南區新興里夏林路254號,67000,67000330,新興里,夏林路254號,"25金屬製品製造業,33其他製造業"
99676562,中大服裝有限公司,臺南市中西區銀同里開山路89巷19號1樓,67000,67000370,銀同里,開山路89巷19號1樓,12成衣及服飾品製造業
99676564,集舜興業有限公司,臺南市中西區青年里中山路10、12號,67000,67000370,青年里,中山路10、12號,"11紡織業,12成衣及服飾品製造業,13皮革、毛皮及其製品製造業"
99676565,興南度量衡器廠,臺南市中西區天后里西門路2段424號,67000,67000370,天后里,西門路2段424號,27電腦、電子產品及光學製品製造業
99676566,永達環保實業有限公司,臺南市安南區新順里安豐六街10巷71弄26號1樓,67000,67000350,新順里,安豐六街10巷71弄26號1樓,29機械設備製造業
99676568,允副企業有限公司,臺南市南區郡南里永成路3段173號1樓,67000,67000330,郡南里,永成路3段173號1樓,11紡織業
99676569,壽齊機器工業有限公司工廠,臺南市南區彰南里新義南路22號,67000,67000330,彰南里,新義南路22號,"30汽車及其零件製造業,31其他運輸工具及其零件製造業"
99676572,贊維企業有限公司,臺南市北區永祥里實踐街39巷36弄75號,67000,67000340,永祥里,實踐街39巷36弄75號,"25金屬製品製造業,29機械設備製造業"
99676577,寶田實業社,臺南市南區佛壇里興南街400號,67000,67000330,佛壇里,興南街400號,"22塑膠製品製造業,25金屬製品製造業"
99676578,林國材企業有限公司一廠,臺南市南區佛壇里興南街359號,67000,67000330,佛壇里,興南街359號,"22塑膠製品製造業,25金屬製品製造業"
99676579,寶田實業社一廠,臺南市南區佛壇里興南街358號,67000,67000330,佛壇里,興南街358號,"22塑膠製品製造業,25金屬製品製造業"
99676580,暉盛科技股份有限公司,臺南市南區彰南里新義路7號之1,67000,67000330,彰南里,新義路7號之1,"29機械設備製造業,25金屬製品製造業"
99676582,地玖精工業有限公司,臺南市安南區新順里政安路42巷13號,67000,67000350,新順里,政安路42巷13號,"26電子零組件製造業,30汽車及其零件製造業,31其他運輸工具及其零件製造業"
99676583,甫門企業有限公司,臺南市安南區新順里永安路6號,67000,67000350,新順里,永安路6號,25金屬製品製造業
99676585,磐磬實業有限公司大興廠,臺南市北區大和里大興街40巷49號,67000,67000340,大和里,大興街40巷49號,"26電子零組件製造業,28電力設備及配備製造業"
99676586,佳楠精密電子股份有限公司,臺南市東區崇善里崇善二街33號,67000,67000320,崇善里,崇善二街33號,26電子零組件製造業
99676589,逢晟實業有限公司總頭寮廠,臺南市安南區布袋里工明五路10號1樓,67000,67000350,布袋里,工明五路10號1樓,22塑膠製品製造業
99676590,驥光企業有限公司安和廠,臺南市安南區安東里安和路2段174巷8號,67000,67000350,安東里,安和路2段174巷8號,29機械設備製造業
99676592,亞洲航空股份有限公司台南廠,臺南市南區大恩里機場路907號,67000,67000330,大恩里,機場路907號,31其他運輸工具及其零件製造業
99676594,台灣成膜光電股份有限公司,臺南市安南區鹽田里工業三路60號,67000,67000350,鹽田里,工業三路60號,26電子零組件製造業
