登記編號,工廠名稱,工廠地址,縣市別代碼,地址_行政區域代碼,地址_村里,地址_街路門牌,符合之產業類別
99656791,千口美企業有限公司,臺南市永康區龍潭里中山北路264巷11弄12號,67000,67000310,龍潭里,中山北路264巷11弄12號,08食品製造業
99656796,西河企業社,臺南市仁德區新田里勝利路132巷10弄1號,67000,67000270,新田里,勝利路132巷10弄1號,08食品製造業
99656813,新興製麵加工廠,臺南市新營區新南里長榮路2段9Ｏ1號,67000,67000010,新南里,長榮路2段9Ｏ1號,08食品製造業
99656831,昶牧生物科技企業有限公司仁德廠,臺南市仁德區仁愛里大同路3段179號,67000,67000270,仁愛里,大同路3段179號,08食品製造業
99656838,富林食品工廠,臺南市安定區中沙里沙崙9之1號,67000,67000210,中沙里,沙崙9之1號,08食品製造業
99656867,三億麥芽實業有限公司,臺南市善化區南關里三民路1之11號,67000,67000190,南關里,三民路1之11號,08食品製造業
99656892,優之堡生技製藥股份有限公司新營廠,臺南市新營區嘉芳里忠孝路3號,67000,67000010,嘉芳里,忠孝路3號,"20藥品及醫用化學製品製造業,08食品製造業"
99656963,杜漢企業股份有限公司,臺南市鹽水區橋南里自立街6號,67000,67000020,橋南里,自立街6號,08食品製造業
99656987,臺南縣大內鄉農會製油工廠,臺南市大內區大內里9號,67000,67000110,大內里,9號,08食品製造業
99656988,滋養軒食品廠,臺南市新營區民權里中山路254號,67000,67000010,民權里,中山路254號,08食品製造業
99656990,東懋食品股份有限公司,臺南市新化區知義里新和庄10之1號,67000,67000180,知義里,新和庄10之1號,08食品製造業
99657014,仟和興業股份有限公司,臺南市佳里區民安里同安寮80之13號,67000,67000120,民安里,同安寮80之13號,08食品製造業
99657037,好帝一食品有限公司,臺南市新市區大營里豐榮160號,67000,67000200,大營里,豐榮160號,08食品製造業
99657085,維味香食品工廠　　　　　　　　　　　　　　　　　　　　　　,臺南市六甲區龜港里龜子港142號,67000,67000090,龜港里,龜子港142號,08食品製造業
99657089,萬有全食品廠,臺南市仁德區一甲里太乙三街33號,67000,67000270,一甲里,太乙三街33號,08食品製造業
99657110,育立實業股份有限公司,臺南市新營區太北里忠孝路68號,67000,67000010,太北里,忠孝路68號,08食品製造業
99657148,三皇生物科技股份有限公司善化總廠,臺南市善化區坐駕里成功路427號,67000,67000190,坐駕里,成功路427號,"09飲料製造業,08食品製造業"
99657196,晉弘實業股份有限公司,臺南市麻豆區麻口里麻豆口32之2號,67000,67000070,麻口里,麻豆口32之2號,08食品製造業
99657239,洋銘生技廠,臺南市永康區?洲里洲工街162號,67000,67000310,?洲里,洲工街162號,08食品製造業
99657251,榮記企業廠,臺南市永康區尚頂里正南一街139號,67000,67000310,尚頂里,正南一街139號,08食品製造業
99657320,環球飼料股份有限公司台南廠,臺南市西港區西港里1之63號,67000,67000140,西港里,1之63號,08食品製造業
99657328,南一農產脫水工廠股份有限公司,臺南市學甲區新達里頂山寮1之46號,67000,67000130,新達里,頂山寮1之46號,08食品製造業
99657339,東陽製藥股份有限公司,臺南市官田區二鎮里建業路45號,67000,67000100,二鎮里,建業路45號,"20藥品及醫用化學製品製造業,08食品製造業"
99657344,左鎮區農會農產品加工廠,臺南市左鎮區中正里11號,67000,67000260,中正里,11號,08食品製造業
99657374,分享家食品股份有限公司台南分公司,臺南市新市區永就里中山路259號Ａ棟,67000,67000200,永就里,中山路259號Ａ棟,"08食品製造業,09飲料製造業"
99657431,唯昌製冰廠有限公司,臺南市永康區尚頂里?信街146巷27號,67000,67000310,尚頂里,?信街146巷27號,08食品製造業
99657440,大安化學製藥股份有限公司第一廠,臺南市永康區王行里環工路59號,67000,67000310,王行里,環工路59號,"08食品製造業,20藥品及醫用化學製品製造業"
99657464,顏氏興業有限公司新營廠,臺南市新營區嘉芳里五福路116、120號、復興路1129號,67000,67000010,嘉芳里,五福路116、120號、復興路1129號,08食品製造業
99657466,臺南市新營區農會碾米工廠,臺南市新營區埤寮里中正路430巷112號,67000,67000010,埤寮里,中正路430巷112號,08食品製造業
99657499,雅芝齋事業股份有限公司新營廠,臺南市新營區嘉芳里新中路3號,67000,67000010,嘉芳里,新中路3號,08食品製造業
99657500,勇健工業股份有限公司,臺南市鹽水區汫水里溪州寮3之8號,67000,67000020,汫水里,溪州寮3之8號,08食品製造業
99657506,南亞畜牧股份有限公司新營廠,臺南市新營區嘉芳里復興路1133號,67000,67000010,嘉芳里,復興路1133號,"20藥品及醫用化學製品製造業,08食品製造業"
99657515,臺灣紙業股份有限公司新營紙廠,臺南市新營區南紙里南紙街94號,67000,67000010,南紙里,南紙街94號,"15紙漿、紙及紙製品製造業,18化學材料及肥料製造業,08食品製造業"
99657521,大立加工廠,臺南市新營區興安里工業街71之12號,67000,67000010,興安里,工業街71之12號,08食品製造業
99657529,上統農產股份有限公司,臺南市官田區二鎮里工業西路5號,67000,67000100,二鎮里,工業西路5號,08食品製造業
99657539,裕益冰枝店,臺南市新營區民生里三民路186巷5號,67000,67000010,民生里,三民路186巷5號,08食品製造業
99657541,溫士頓醫藥股份有限公司,臺南市永康區?洲里仁愛街117號,67000,67000310,?洲里,仁愛街117號,"20藥品及醫用化學製品製造業,08食品製造業"
99657543,勝騰食品股份有限公司,臺南市永康區王行里環工路3號,67000,67000310,王行里,環工路3號,08食品製造業
99657554,全利農工企業有限公司,臺南市鹽水區汫水里溪州寮3之5號,67000,67000020,汫水里,溪州寮3之5號,08食品製造業
99657560,豐裕碾米工廠,臺南市白河區秀祐里三民路668及668之1號,67000,67000030,秀祐里,三民路668及668之1號,08食品製造業
99657569,統一企業股份有限公司新營廠,臺南市新營區興業里工業街83號,67000,67000010,興業里,工業街83號,08食品製造業
99657575,德成製粉工廠,臺南市新營區永生里新進路340號,67000,67000010,永生里,新進路340號,08食品製造業
99657605,金穎生物科技股份有限公司,臺南市新營區嘉芳里新工路33號,67000,67000010,嘉芳里,新工路33號,08食品製造業
99657614,大統益股份有限公司,臺南市官田區二鎮里工業西路32號,67000,67000100,二鎮里,工業西路32號,08食品製造業
99657616,龍聯實業股份有限公司,臺南市官田區二鎮里工業西路81號,67000,67000100,二鎮里,工業西路81號,08食品製造業
99657636,養全企業股份有限公司,臺南市新營區中營里東山路136之1號,67000,67000010,中營里,東山路136之1號,08食品製造業
99657685,仙鹿製藥股份有限公司,臺南市官田區二鎮里成功街47號,67000,67000100,二鎮里,成功街47號,"20藥品及醫用化學製品製造業,08食品製造業,09飲料製造業"
99657707,鵬群興業股份有限公司,臺南市官田區二鎮里成功街46號,67000,67000100,二鎮里,成功街46號,08食品製造業
99657713,長利商號,臺南市鹽水區水秀里清?路26號,67000,67000020,水秀里,清?路26號,08食品製造業
99657725,達成食品廠,臺南市新營區中營里東山三路102號,67000,67000010,中營里,東山三路102號,08食品製造業
99657728,萬禮實業股份有限公司,臺南市鹽水區水秀里土庫2之16號,67000,67000020,水秀里,土庫2之16號,08食品製造業
99657739,昌德珍實業有限公司,臺南市官田區二鎮里工業南路25號,67000,67000100,二鎮里,工業南路25號,08食品製造業
99657764,華昌製藥生化科技股份有限公司,臺南市官田區二鎮里成功街43號,67000,67000100,二鎮里,成功街43號,"20藥品及醫用化學製品製造業,08食品製造業"
99657770,農益實業股份有限公司,臺南市官田區二鎮里建業路27號,67000,67000100,二鎮里,建業路27號,08食品製造業
99657786,鹽水區農會碾米工廠,臺南市鹽水區水仙里西門路21號,67000,67000020,水仙里,西門路21號,08食品製造業
99657819,高健食品科技有限公司,臺南市柳營區士林里長榮路六段557號,67000,67000040,士林里,長榮路六段557號,"08食品製造業,09飲料製造業"
99657861,聯榮碾米工廠,臺南市白河區永安里中正路63號,67000,67000030,永安里,中正路63號,08食品製造業
99657866,立安生物科技製藥股份有限公司,臺南市官田區二鎮里工業路3號,67000,67000100,二鎮里,工業路3號,"20藥品及醫用化學製品製造業,08食品製造業"
99657872,漢生碾米工廠,臺南市白河區玉豐里海豐厝72號,67000,67000030,玉豐里,海豐厝72號,08食品製造業
99657897,統昇食品工業有限公司,臺南市麻豆區寮?里寮里寮子119之3號,67000,67000070,寮?里,寮子119之3號,08食品製造業
99657908,慶陽飼料加工廠,臺南市麻豆區磚井里磚子井139之1號,67000,67000070,磚井里,磚子井139之1號,08食品製造業
99657916,統興食品廠股份有限公司官田廠,臺南市官田區二鎮里實踐街8號,67000,67000100,二鎮里,實踐街8號,08食品製造業
